precinct_norm,registered_active,pct_dem,pct_rep,pct_una,pct_black,pct_white,median_age,total_population_2020,registration_rate,turnout_2016_General,turnout_2018_General,turnout_2020_General,turnout_2021_Municipal,turnout_2022_General,turnout_2023_Municipal,turnout_2024_General
,8,0.375,0.0,0.625,0.375,0.0,33.0,,,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2857142857142857
01,1005,0.5840796019900497,0.050746268656716415,0.3611940298507463,0.21393034825870647,0.5741293532338309,47.0,2612.0,0.3847626339969372,0.9426751592356688,0.8694029850746269,0.9543307086614173,0.3425076452599388,0.8055944055944056,0.4441489361702128,0.8571428571428571
02,3593,0.41914834400222656,0.029501809073197886,0.5480100194823267,0.11800723629279154,0.40578903423323126,25.0,4746.0,0.7570585756426464,0.9388335704125178,0.8374851720047449,0.9523088569265707,0.2435344827586207,0.6944606413994169,0.2685589519650655,0.7691805419523343
03,2209,0.580805794477139,0.034404708012675415,0.3816206428248076,0.046627433227704844,0.6808510638297872,32.0,3395.0,0.6506627393225332,0.9564489112227805,0.8772169167803547,0.9678988326848249,0.37084870848708484,0.841044776119403,0.3942172073342736,0.8476239669421488
04,1516,0.5996042216358839,0.036939313984168866,0.36015831134564646,0.055408970976253295,0.7928759894459103,48.0,2022.0,0.7497527200791295,0.9627473806752037,0.9213250517598344,0.9761029411764706,0.47539543057996486,0.8849040867389492,0.5987210231814548,0.9482386772106398
05,5065,0.4513326752221125,0.03968410661401777,0.5052319842053307,0.1930898321816387,0.29378084896347484,24.0,11402.0,0.4442203122259253,0.8636363636363636,0.6008230452674898,0.901875,0.07394156231365534,0.5609548167092924,0.07100149476831091,0.7083333333333334
06,1694,0.6044864226682408,0.03955135773317592,0.3530106257378985,0.19303423848878395,0.6050767414403778,46.0,3220.0,0.5260869565217391,0.9423769507803121,0.8453276047261009,0.9373881932021467,0.337942955920484,0.7968,0.4001512859304085,0.8698186528497409
07,2464,0.5576298701298701,0.033279220779220776,0.4054383116883117,0.09618506493506493,0.6647727272727273,35.0,3337.0,0.7383877734492059,0.9495268138801262,0.8689189189189189,0.9504459861248761,0.29395604395604397,0.8057607090103397,0.35859269282814615,0.865588681152097
08,2701,0.5964457608293224,0.02702702702702703,0.3709737134394669,0.3339503887449093,0.45390596075527584,41.0,3736.0,0.7229657387580299,0.9062200956937799,0.75,0.9274755927475593,0.2739907346128392,0.715962441314554,0.3125339120998372,0.8682170542635659
09,2403,0.5905118601747815,0.0449438202247191,0.36329588014981273,0.21681231793591343,0.6475239284228048,51.0,3417.0,0.7032484635645303,0.9567068843151171,0.883235485975212,0.967948717948718,0.39464882943143814,0.8389786347055758,0.4495,0.9435155896972436
10,2434,0.5419063270336894,0.04026294165981923,0.4133114215283484,0.3401807723911257,0.4104354971240756,35.0,3357.0,0.7250521298778672,0.881578947368421,0.7053824362606232,0.8947939262472885,0.19918283963227784,0.6654835847382431,0.21598101265822786,0.8149300155520995
12,641,0.5631825273010921,0.0343213728549142,0.39313572542901715,0.5959438377535101,0.16380655226209048,43.0,1027.0,0.6241480038948394,0.850909090909091,0.6722408026755853,0.9088235294117647,0.24233983286908078,0.5710659898477157,0.2665094339622642,0.7721280602636534
13,968,0.5237603305785123,0.030991735537190084,0.44111570247933884,0.6694214876033058,0.05785123966942149,40.0,2365.0,0.40930232558139534,0.8152709359605911,0.5033557046979866,0.7623400365630713,0.1,0.4377049180327869,0.11653543307086614,0.6375921375921376
14,2319,0.5157395429064252,0.056058645968089696,0.4251832686502803,0.49072876239758517,0.172488141440276,42.0,4535.0,0.5113561190738699,0.8902575587905935,0.6619576185671039,0.8732037193575655,0.18975180144115292,0.5466666666666666,0.18036211699164345,0.7205726405090138
15,1301,0.5534204458109147,0.035357417371252885,0.40584166026133744,0.44273635664873173,0.26518063028439665,40.0,2723.0,0.4777818582445832,0.8778004073319755,0.6993006993006993,0.8876080691642652,0.18620689655172415,0.6060225846925973,0.2550177095631641,0.7628959276018099
17,3749,0.5380101360362763,0.034675913576953855,0.42224593224859963,0.3064817284609229,0.4318484929314484,39.0,5520.0,0.6791666666666667,0.8854545454545455,0.7267924528301887,0.9069086651053864,0.26125137211855104,0.7019417475728156,0.28482697426796805,0.8211788211788211
18,2007,0.5625311410064773,0.03886397608370702,0.3911310413552566,0.5057299451918286,0.1619332336821126,40.0,5564.0,0.3607117181883537,0.8642590286425903,0.6559734513274337,0.8763837638376384,0.1589519650655022,0.5251623376623377,0.17444529456771232,0.7389486260454002
19,3013,0.5771656156654498,0.05277132426153336,0.36674410886159975,0.44208430136077,0.32558911384002653,42.0,5153.0,0.5847079371240055,0.9216954022988506,0.7932569974554707,0.930614406779661,0.2331288343558282,0.6803044719314938,0.2571556350626118,0.8624761904761905
20,1911,0.6143380429094715,0.023024594453165882,0.358451072736787,0.11355311355311355,0.7090528519099948,41.0,2864.0,0.6672486033519553,0.9408212560386473,0.8608515057113187,0.9590592334494773,0.40480132450331124,0.8440779610194903,0.46820405310971347,0.9043683589138135
21,1576,0.5875634517766497,0.03934010152284264,0.37055837563451777,0.13451776649746192,0.7068527918781726,44.0,2667.0,0.5909261342332208,0.9433465085638999,0.8761363636363636,0.9588910133843213,0.4091743119266055,0.8441127694859039,0.4554064719810576,0.9357092941998603
22,3983,0.6118503640472006,0.043685664072307305,0.33994476525232237,0.5684157670097916,0.20336429826763747,45.0,8656.0,0.46014325323475047,0.8915849251419721,0.6814780168381666,0.8903614457831325,0.19369894982497082,0.5779550398839739,0.19042735042735043,0.7963228957196208
23,6193,0.601324075569191,0.05457774907153237,0.34038430486032617,0.5625706442757953,0.20765380268044567,45.0,10357.0,0.5979530752148305,0.9092955934384046,0.758681062153487,0.925,0.20472813238770685,0.643141592920354,0.20733752620545073,0.8612222626409604
24,3605,0.50374479889043,0.12565880721220526,0.3650485436893204,0.2305131761442441,0.5980582524271845,56.0,6277.0,0.5743189421698264,0.9471480900052328,0.8279113625648279,0.9589764419171405,0.2530308955807587,0.7829286239882266,0.3041958041958042,0.9058751153491233
25,3039,0.3599868377755841,0.23527476143468246,0.3981572885817703,0.1447844685751892,0.7041790062520566,56.0,4585.0,0.6628135223555071,0.9270500532481363,0.7933597621407334,0.9643012625163256,0.03560830860534125,0.7565497783151954,0.03973765432098766,0.9350603264726757
26,1342,0.28539493293591656,0.3323397913561848,0.37630402384500744,0.12965722801788376,0.7794336810730254,59.0,1904.0,0.7048319327731093,0.9473684210526315,0.8237791932059448,0.9587242026266416,0.004541326067211626,0.7563098346388164,0.005937234944868533,0.9379474940334129
27,3110,0.4514469453376206,0.11543408360128618,0.4286173633440514,0.0752411575562701,0.7437299035369775,55.0,3925.0,0.7923566878980892,0.9593984962406015,0.8547557840616966,0.9722365038560411,0.2295160517489219,0.829535495179667,0.30265848670756645,0.9287006876583423
28,3446,0.3105049332559489,0.2614625652930934,0.4219384793964016,0.1555426581543819,0.716482878699942,58.0,6883.0,0.5006537846869098,0.9463024022609515,0.8250883392226148,0.9696379914363565,0.07957957957957958,0.7950907150480256,0.09567901234567901,0.9409020217729394
29,4010,0.4735660847880299,0.15486284289276808,0.36708229426433914,0.38179551122194516,0.3935162094763092,48.0,6873.0,0.5834424559871962,0.9267618608935975,0.7383966244725738,0.9428780666422556,0.09478505990133897,0.6623333333333333,0.09888712241653418,0.885498320268757
30-2,7095,0.5785764622973926,0.06920366455250176,0.3474277660324172,0.5499647639182523,0.24580690627202256,45.0,10654.0,0.6659470621362868,0.9364256480218281,0.7769854929923776,0.9510128152128979,0.15016038492381717,0.6853212737893348,0.16037904523511531,0.9065873885150993
30-3,4935,0.5067882472137791,0.10354609929078014,0.3841945288753799,0.4160081053698075,0.3381965552178318,43.0,,,0.9318079856437864,0.7835413416536662,0.9508679986898133,0.1683448709880428,0.6777875329236172,0.1738891936368623,0.8929479768786127
30-4,5060,0.4826086956521739,0.10573122529644269,0.40652173913043477,0.3660079051383399,0.41561264822134386,45.0,,,0.9469122426868906,0.8172828890799656,0.9621409921671018,0.16763714373276126,0.7368421052631579,0.2214818763326226,0.9254615910645088
